urls,category,keyword1,freq1,keyword2,freq2,keyword3,freq3,keyword4,freq4,keyword5,freq5,keyword6,freq6,keyword7,freq7,keyword8,freq8,keyword9,freq9,keyword10,freq10
http://4pgl5yvrwgxflqbrvhoxsmkvocgx3qzscmmi2nmbm4juyfgemkikodad.onion/,hacking,whatsapp,9,account,7,hacking,6,email,6,hack,4,send,4,password,3,address,3,bitcoins,3,please,2
http://4zr5oozr6rqmun7e3yydzzuqha2l2op2h6wx4zc4nizm43b6jattlwyd.onion/,hacking,,,,,,,,,,,,,,,,,,,,
http://leaksndi6i6m2ji6ozulqe4imlrqn6wrgjlhxe25vremvr3aymm4aaid.onion/,leaks,,,,,,,,,,,,,,,,,,,,
http://5butbkrljkaorg5maepuca25oma7eiwo6a2rlhvkblb4v6mf3ki2ovid.onion/,leaks,download,78,published,70,file,40,views,39,hour,39,minute,39,https,36,services,33,company,26,months,23
http://j3dp6okmaklajrsk6zljl5sfa2vpui7j2w6cwmhmmqhab6frdfbphhid.onion/,leaks,,,,,,,,,,,,,,,,,,,,
http://rnsmwareartse3m4hjsumjf222pnka6gad26cqxqmbjvevhbnym5p6ad.onion/,leaks,info,7,management,4,harvest,3,years,3,gilbert,3,wares,2,software,2,company,2,specialized,2,supply,2
http://rnsmwareartse3m4hjsumjf222pnka6gad26cqxqmbjvevhbnym5p6ad.onion/,leaks,info,7,management,4,harvest,3,years,3,gilbert,3,wares,2,software,2,company,2,specialized,2,supply,2
http://rhysidafohrhyy2aszi7bm32tnjat5xri65fopcxkdfxhi4tidsg7cad.onion/,leaks,contact,5,rhysida,4,email,4,please,4,send,4,news,4,onionmail,4,company,3,form,3,auctions,2
http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/,leaks,company,37,photos,20,files,20,learn,20,data,14,available,12,download,12,services,6,including,6,login,5
http://nitrogenczslprh3xyw6lh5xyjvmsz7ciljoqxxknd7uymkfetfhgvqd.onion,leaks,https,26,read,26,dump,25,company,15,solutions,15,services,14,products,13,including,10,range,8,industries,8
https://www.csidb.net/csidb/actors/88d6ccdf-1758-4014-b7ff-bfdffb7c2c1e/,leaks,attacks,27,russian,26,turk,22,hack,22,team,22,websites,22,group,21,turkish,19,cyber,18,government,14
http://lynxblogco7r37jt7p5wrmfxzqze7ghxw6rihzkqc455qluacwotciyd.onion/leaks,leaks,lynx,1,,,,,,,,,,,,,,,,,,
http://3ev4metjirohtdpshsqlkrqcmxq6zu3d7obrdhglpy5jpbr7whmlfgqd.onion/,leaks,,,,,,,,,,,,,,,,,,,,
http://krakenccj3wr23452a4ibkbkuph4d6soyx2xgjoogtuamc3m7u7wemad.onion/,leaks,,,,,,,,,,,,,,,,,,,,
http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion/blog/disclosures/67f4f6f0516e69ca615e9bf1,leaks,null,1,,,,,,,,,,,,,,,,,,
http://embargobe3n5okxyzqphpmk3moinoap2snz5k6765mvtkk7hhi544jid.onion/#/,leaks,embargo,1,need,1,enable,1,javascript,1,,,,,,,,,,,,
http://34o4m3f26ucyeddzpf53bksy76wd737nf2fytslovwd3viac3by5chad.onion/leaks,leaks,frag,1,blog,1,,,,,,,,,,,,,,,,
http://blogvl7tjyjvsfthobttze52w36wwiz34hrfcmorgvdzb6hikucb7aqd.onion/news.php?page=1,leaks,news,1,need,1,enable,1,javascript,1,,,,,,,,,,,,
http://z6wkgghtoawog5noty5nxulmmt2zs7c3yvwr22v4czbffdoly2kl4uad.onion/,leaks,uncategorized,12,published,11,categorized,11,information,10,files,10,price,8,sale,8,data,7,descriptionemployee,7,customer,7
http://j5o5y2feotmhvr7cbcp2j2ewayv5mn5zenl3joqwx67gtfchhezjznad.onion/,leaks,public,1,data,1,storage,1,need,1,enable,1,javascript,1,,,,,,,,
http://ciphbitqyg26jor7eeo6xieyq7reouctefrompp6ogvhqjba7uo4xdid.onion/,leaks,company,27,post,22,date,22,service,18,quality,16,years,15,services,14,solutions,10,companies,10,group,10
http://hptqq2o2qjva7lcaaq67w36jihzivkaitkexorauw7b2yul2z6zozpqd.onion/list,leaks,chaos,1,,,,,,,,,,,,,,,,,,
http://yrz6bayqwhleymbeviter7ejccxm64sv2ppgqgderzgdhutozcbbhpqd.onion/,leaks,learn,10,updated,10,solutions,5,offer,5,business,5,sunlux,5,company,5,brazil,4,auxis,4,world,3
http://ks5424y3wpr5zlug5c7i6svvxweinhbdcqcfnptkfcutrncfazzgz5id.onion/posts.php,leaks,disclosures,133,announcement,9,supply,9,company,6,global,4,medical,4,important,3,status,3,featured,3,crushftp,3
http://nsalewdnfclsowcal6kn5csm4ryqmfpijznxwictukhrgvz2vbmjjjyd.onion/,leaks,https,33,company,23,zoominfo,15,date,14,status,14,views,14,read,14,fully,11,published,11,linney,10
http://7ukmkdtyxdkdivtjad57klqnd3kdsmq6tp45rrsxqnu76zzv3jvitlqd.onion/,leaks,leak,37,data,33,includes,19,public,19,site,19,https,19,available,18,stolen,18,full,17,dump,14
http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/,leaks,download,24,brain,2,cipher,2,leaks,1,main,1,rules,1,iycsa,1,edisoft,1,valedolobo,1,soundtransit,1
http://22a2baayahvabkgfvq2cmg4li4h6sg4bzi4in24lmlgncfiy2jtv5oid.onion/,cryptocurrency,wallet,13,hidden,12,bitcoin,10,anonymous,5,bitcoins,5,privacy,4,started,3,security,3,government,3,using,3
http://2xjmhc3m47gs4vw24i5yv2hjwd4iv7nknm24fogzec3dxu4yjucsewqd.onion/,cryptocurrency,transfer,22,transaction,11,link,11,deleted,10,safety,10,airdrop,9,wallet,8,order,7,transfers,6,added,6
http://2uproygdafdiypa6rpezvinj2sguc3swjzkw5r2szs6bb2ltavs7nsyd.onion/,cryptocurrency,private,21,address,15,balance,14,bitcoin,11,price,11,sold,10,blockchain,9,wallet,7,warning,4,clearnet,4
http://2bcbla34hrkp6shb4myzb2wntl2fxdbrroc2t4t7c3shckvhvk4fw6qd.onion/,cryptocurrency,sell,21,worth,18,bitcoins,6,virtual,6,currency,6,cash,4,paypal,4,bitcoin,3,mail,3,ethereum,3
http://2btc3nzfvbqlr5vonrjajmlgd36nnsgz3vqtga5lwfprnok6avcjtxyd.onion/,cryptocurrency,bitcoin,12,wallet,5,using,3,free,2,secure,2,register,2,services,2,safe,2,storage,2,keep,2
